File Name,Lines
ExpressionGenerator.cs,628
StatementGenerator.cs,281
CodeGeneratorHelpers.cs,269
Linker.cs,205
CodeGeneratorMain.cs,203
Extensions.cs,155
AttributeKind.cs,72
OS.cs,65
AssemblyInfo.cs,32
Total,1910
